timestamp,current (A),voltage (V),field (G),ADCDAC temp (Deg),box temp (Deg),rack temp (Deg),water temp (Deg),water flow (L/Min)
2023-07-27 16:19:55,0.0,0.0,35.44,48.66,40.51,38.53,3.87,6.2
2023-07-27 16:19:57,0.0,0.0,35.37,48.66,40.52,38.54,3.87,6.2
2023-07-27 16:20:00,0.0,0.0,35.55,48.66,40.52,38.55,3.87,6.5
2023-07-27 16:20:02,0.0,0.0,35.48,48.66,40.54,38.54,3.87,6.5
2023-07-27 16:20:04,0.0,0.0,35.49,48.66,40.54,38.54,3.87,6.5
2023-07-27 16:20:07,0.0,0.0,35.44,48.66,40.54,38.53,3.87,6.4
2023-07-27 16:20:09,0.0,0.0,35.49,48.66,40.52,38.53,3.87,6.5
2023-07-27 16:20:11,0.0,0.0,35.51,48.66,40.52,38.54,3.87,6.5
2023-07-27 16:20:13,0.0,0.0,35.5,48.66,40.54,38.53,3.87,6.5
2023-07-27 16:20:15,0.0,0.0,35.58,48.66,40.54,38.53,3.87,6.8
2023-07-27 16:20:18,0.0,0.0,35.49,48.66,40.54,38.54,3.87,6.8
2023-07-27 16:20:20,0.0,0.0,35.58,48.66,40.54,38.53,3.87,6.7
2023-07-27 16:20:22,0.0,0.0,35.49,48.66,40.54,38.55,3.87,6.5
2023-07-27 16:20:25,0.0,0.0,35.52,48.66,40.54,38.55,3.87,6.4
2023-07-27 16:20:27,0.0,0.0,35.51,48.66,40.55,38.55,3.87,6.3
2023-07-27 16:20:29,0.0,0.0,35.53,48.66,40.55,38.51,3.87,6.3
2023-07-27 16:20:31,0.0,0.0,35.52,48.66,40.54,38.51,3.87,6.4
2023-07-27 16:20:34,0.0,0.0,35.52,48.66,40.52,38.51,3.87,6.6
2023-07-27 16:20:36,0.0,0.0,35.51,48.66,40.54,38.51,3.87,6.5
2023-07-27 16:20:38,0.0,0.0,35.49,48.66,40.54,38.5,3.87,6.6
2023-07-27 16:20:40,0.0,0.0,35.45,48.66,40.54,38.49,3.87,6.4
2023-07-27 16:20:43,0.0,0.0,35.5,48.66,40.54,38.5,3.87,6.3
2023-07-27 16:20:45,0.0,0.0,35.4,48.66,40.54,38.51,3.87,6.5
2023-07-27 16:20:47,0.0,0.0,35.43,48.66,40.55,38.51,3.87,6.3
2023-07-27 16:20:49,0.0,0.0,35.52,48.66,40.55,38.54,3.87,6.3
2023-07-27 16:20:52,0.0,0.0,35.51,48.66,40.55,38.57,3.87,6.4
2023-07-27 16:20:54,0.0,0.0,35.53,48.66,40.55,38.57,3.87,6.5
2023-07-27 16:20:56,0.0,0.0,35.52,48.67,40.55,38.54,3.87,6.5
2023-07-27 16:20:58,0.0,0.0,35.5,48.67,40.54,38.53,3.87,6.3
2023-07-27 16:21:01,0.0,0.0,35.46,48.66,40.54,38.55,3.87,6.4
