name,ascii_str,ascii_str_get,getter,getter_type,setter,setter_type,setter_range ,doc,subsystem,is_config,setter_inputs,getter_inputs
sens,SENS,,TRUE,str,TRUE,int,"[0,26]",,Sensitivity control commands,,,
sens_cal_mode,SUCM,,TRUE,str,TRUE,int,"[0,1]",,Sensitivity control commands,,,
uncal_sens,SUCV,,TRUE,str,TRUE,int,"[0,100]",,Sensitivity control commands,,,
in_off_curr,IOON,,TRUE,str,TRUE,int,"[0,1]",,Input Offset Current control commands,,,
cal_in_offset_curr,IOLV,,TRUE,str,TRUE,int,"[0,29]",,Input Offset Current control commands,,,
in_off_curr_sign,IOSN,,TRUE,str,TRUE,int,"[0,1]",,Input Offset Current control commands,,,
in_off_cal_mode,IOUC,,TRUE,str,TRUE,int,"[0,1]",,Input Offset Current control commands,,,
uncal_in_off,IOUV,,TRUE,str,TRUE,int,"[-1000,1000]",,Input Offset Current control commands,,,
bias_vol,BSON,,TRUE,str,TRUE,int,"[0,1]",,Bias Voltage control commands,,,
bias_vol_lev,BSLV,,TRUE,str,TRUE,int,"[-5000,5000]",,Bias Voltage control commands,,,
filter_type,FLTT,,TRUE,str,TRUE,int,"[0,5]",,Filter control commands,,,
lowpass_filter,LFRQ,,TRUE,str,TRUE,int,"[0,15]",,Filter control commands,,,
highpass_filter,HFRQ,,TRUE,str,TRUE,int,"[0,11]",,Filter control commands,,,
reset_filter,ROLD,,TRUE,str,TRUE,none,None,,Filter control commands,,,
gain_mode,GNMD,,TRUE,str,TRUE,int,"[0,2]",,Other commands,,,
signal_invert,INVT,,TRUE,str,TRUE,int,"[0,1]",,Other commands,,,
blank_output,BLNK,,TRUE,str,TRUE,int,"[0,1]",,Other commands,,,
reset,*RST,,TRUE,str,TRUE,none,None,,Other commands,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
