name,ascii_str,ascii_str_get,getter,getter_type,setter,setter_type,setter_range ,doc,subsystem,is_config,setter_inputs,getter_inputs
link,LINK,,TRUE,int,TRUE,int,"[1,4]",Set or query the optical port link.,Link commands,TRUE,,
link_serial,LNKS,,TRUE,str,TRUE,int,"[0,4]",Set (query) the optical port link status for the host RS-232 (serial) port.,Link commands,TRUE,,
link_eth,LNKE,,TRUE,str,TRUE,int,"[0,4]",Set (query) the optical port link status for the host ethernet port.,Link commands,TRUE,,
link_gpib,LNKG,,TRUE,str,TRUE,int,"[0,4]",Set (query) the optical port link status for the host GPIB port.,Link commands,TRUE,,
unlink,UNLK,,FALSE,none,TRUE,none,None,This set-only command forces the SX199 to the unlinked state.,Link commands,TRUE,,
set_esc_char,SESC,,TRUE,str,TRUE,int,"[0,255]","Set (query) the escape character {to character code i}. The valid range
for i is 0 ≤i< 255. The default value is SESC 33 (the “!” character).",Link commands,TRUE,,
id,*IDN,*IDN?,TRUE,str,FALSE,none,None,Query the SX199 identification string.,Interface commands,FALSE,,
token_mode,TOKN,,TRUE,str,TRUE,str,"[""0"",""1"",""OFF"",""ON""]","Set (query) the token response mode {to z=(OFF 0, ON 1)}.",Interface commands,TRUE,,
response_term,TERM,,TRUE,str,TRUE,str,"[""NONE"", ""0"", ""CR"", ""1"", ""LF"", ""2"",
""CRLF"", ""3"", ""LFCR"", ""4""]","Set (query) the token response mode {to z=(NONE 0, CR 1, LF 2,
CRLF 3, LFCR 4)}.",Interface commands,TRUE,,
op_complete,*OPC,,TRUE,int,TRUE,none,None,"The set form, *OPC, will set the OPC bit in the Standard Event Status
register; the query form, *OPC?, will return the value 1.",Interface commands,FALSE,,
unlock_eth,ULOC,,TRUE,int,TRUE,int,"[0,1]",Set (query) the ethernet command lockout {to i}.,Interface commands,TRUE,,
ip_addr,"IPAD {byte}, {value}",IPAD?{byte},TRUE,int,TRUE,int,"[0,3]",Set (query) byte i of the “Custom” internet address {to j}.,Interface commands,TRUE,2,
netmask,"NMSK {byte}, {value}",NMSK?{byte},TRUE,int,TRUE,int,"[0,255]",Set (query) byte i of the “Custom” internet network mask {to j}.,Interface commands,TRUE,2,
def_gateway,"GWAY {byte}, {value}",GWAY?{byte},TRUE,int,TRUE,int,"[0,255]","Set (query) byte i of the internet default gateway {to j}.
",Interface commands,TRUE,2,
eth_speed,ENET,,TRUE,int,TRUE,int,"[""AUTO"", ""auto"", ""0"", 0, ""M10"", ""m10"", ""1"", 1, ""M100"", ""m100"", ""2"", 2]","Set (query) the ethernet speed{to z=(AUTO 0, M10 1, M100 2)}.",Interface commands,TRUE,,
save_usr_param,SPAR,,TRUE,int,TRUE,int,"[""0""]","Save user settings to non-volatile memory. The token
z should always be 0.",Interface commands,TRUE,,
reset,*RST,,TRUE,int,TRUE,none,None,Reset the SX199 to its default configuration.,Interface commands,FALSE,,
status_byte,*STB,*STB?{value},TRUE,int,FALSE,none,None,Reads the Status Byte register [bit i].,Status commands,FALSE,,
ser_req_enab_1,"*SRE 1, {value}",*SRE?1,TRUE,int,TRUE,int,"[0,255]",Set (query) the Service Request Enable register [bit i] {to j}.,Status commands,TRUE,2,
ser_req_enab_2,"*SRE 2, {value}",*SRE?2,TRUE,int,TRUE,int,"[0,255]",Set (query) the Service Request Enable register [bit i] {to j}.,Status commands,TRUE,2,
ser_req_enab_3,"*SRE 3, {value}",*SRE?3,TRUE,int,TRUE,int,"[0,255]",Set (query) the Service Request Enable register [bit i] {to j}.,Status commands,TRUE,2,
ser_req_enab_4,"*SRE 4, {value}",*SRE?4,TRUE,int,TRUE,int,"[0,255]",Set (query) the Service Request Enable register [bit i] {to j}.,Status commands,TRUE,2,
standard_event_status,*ESR,*ESR?{value},TRUE,int,FALSE,none,None,Reads the Standard Event Status Register [bit i].,Status commands,FALSE,,
